Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Raw Line
1,val,,57.2,1.133,0.853,
2,train,0.001,68.72,0.795,0.885,
2,val,,49.8,1.414,0.885,
3,train,0.001,61.24,0.973,0.898,
3,val,,55.0,1.245,0.898,
4,train,0.001,65.28,0.892,0.901,
4,val,,65.2,0.92,0.901,
5,train,0.001,66.28,0.843,0.901,
5,val,,67.2,0.879,0.901,
6,train,0.001,68.28,0.827,0.901,
6,val,,67.2,0.864,0.901,
7,train,0.001,68.8,0.801,0.901,
7,val,,66.4,0.894,0.901,
8,train,0.001,69.04,0.796,0.901,
8,val,,66.8,0.873,0.901,
9,train,0.001,68.76,0.775,0.901,
9,val,,68.2,0.881,0.901,
10,train,0.001,69.76,0.779,0.901,
10,val,,66.4,0.877,0.901,
11,train,0.001,70.36,0.766,0.901,
11,val,,66.4,0.878,0.901,
12,train,0.001,70.12,0.781,0.901,
12,val,,67.6,0.872,0.901,
13,train,0.001,69.48,0.766,0.901,
13,val,,67.4,0.885,0.901,
14,train,0.001,70.52,0.75,0.901,
14,val,,67.6,0.862,0.901,
15,train,0.001,71.24,0.753,0.901,
15,val,,66.6,0.869,0.901,
16,train,0.001,69.96,0.761,0.901,
16,val,,66.6,0.865,0.901,
17,train,0.001,71.64,0.724,0.901,
17,val,,68.6,0.867,0.901,
18,train,0.001,71.24,0.737,0.901,
18,val,,67.2,0.878,0.901,
19,train,0.001,71.8,0.72,0.901,
19,val,,67.4,0.868,0.901,
20,train,0.001,70.64,0.737,0.901,
20,val,,67.8,0.865,0.901,
0,val,,67.8,0.865,0.901,
1,train,0.001,70.6,0.736,0.926,
1,val,,57.6,1.131,0.926,
2,train,0.001,62.24,0.974,0.943,
2,val,,35.4,1.686,0.943,
3,train,0.001,54.4,1.123,0.949,
3,val,,52.8,1.234,0.949,
4,train,0.001,57.36,1.056,0.95,
4,val,,58.0,1.043,0.95,
5,train,0.001,59.92,1.007,0.95,
5,val,,62.8,0.977,0.95,
6,train,0.001,62.68,0.964,0.95,
6,val,,63.4,0.957,0.95,
7,train,0.001,62.84,0.958,0.95,
7,val,,62.2,0.964,0.95,
8,train,0.001,61.52,0.954,0.95,
8,val,,63.2,0.941,0.95,
9,train,0.001,62.96,0.934,0.95,
9,val,,61.8,0.951,0.95,
10,train,0.001,62.32,0.955,0.95,
10,val,,62.0,0.947,0.95,
11,train,0.001,63.32,0.922,0.95,
11,val,,63.2,0.945,0.95,
12,train,0.001,63.28,0.921,0.95,
12,val,,63.2,0.933,0.95,
13,train,0.001,63.8,0.92,0.95,
13,val,,63.2,0.933,0.95,
14,train,0.001,63.76,0.899,0.95,
14,val,,64.6,0.926,0.95,
15,train,0.001,63.44,0.896,0.95,
15,val,,64.0,0.919,0.95,
16,train,0.001,63.52,0.908,0.95,
16,val,,63.4,0.92,0.95,
17,train,0.001,63.56,0.898,0.95,
17,val,,63.4,0.917,0.95,
18,train,0.001,64.24,0.881,0.95,
18,val,,65.0,0.923,0.95,
19,train,0.001,65.08,0.887,0.95,
19,val,,63.2,0.918,0.95,
20,train,0.001,64.0,0.889,0.95,
20,val,,62.4,0.913,0.95,
